subID,smB,rlP,nL,uL
500,13.184,0.040623,0.48223,-0.1372
501,6.163,0.30942,-0.64391,0.037437
503,7.0464,0.040529,0.19343,-0.23657
504,5.0648,0.0896,0.37208,-0.29302
510,6.6438,0.23744,1.7883,-0.61859
511,3.6072,0.075984,0.098498,0.29307
512,11.417,0.10508,0.44892,-0.077718
513,8.0193,0.17547,0.36813,-0.26262
514,14.651,0.4513,0.2171,-0.35265
515,1.6082,0.1057,-1.382,-0.62533
516,2.918,0.49419,1.2791,0.0063596
517,1.6566,0.37372,2.04,-1.5234
518,14.379,0.077715,0.61839,-0.1765
519,8.749,0.76847,1.3303,-0.15426
520,7.4047,0.28168,0.55548,-0.29447
521,1.5124,0.05715,-8.8973e-09,1.1517
522,2.9576,0.53195,1.8085,-0.047024
523,9.0907,0.12282,0.80601,-0.088118
524,14.732,0.15305,0.89097,-0.045432
525,11.607,0.019775,0.32181,0.33661
526,6.9026,0.13802,0.24859,0.034712
527,1.3041,0.69205,0.4224,-0.35171
528,3.5304,0.1338,-0.65382,0.12514
529,2.3887,0.26646,3.4929,-0.048448
530,4.4468,0.87529,1.6887,0.14549
531,1.2521,0.15825,2.077,-0.67033
532,3.7727,0.07752,0.45835,-0.041264
533,3.3703,0.073222,0.39908,0.052394
534,6.6276,0.21672,-0.098258,-0.45263
535,6.3525,0.15786,1.623,0.085128
536,6.0915,0.069712,1.1572,0.29049
537,1.1674,0.059763,0.56228,0.81409
538,5.0464,0.20771,0.47007,-0.10415
539,1.8521,0.054449,-0.95543,0.026678
540,7.1425,0.21986,0.28997,-0.28041
541,12.643,0.13106,1.0375,-0.02835
542,1.4754,0.83623,-1.6912,0.51248
550,7.652,0.2346,0.22035,-0.54061
551,7.0654,0.15293,0.11467,-0.18701
552,8.8416,0.2158,0.22289,-0.38487
553,7.1831,0.51428,0.17411,-0.31897
554,2.4122,0.503,1.7375,-1.1408
555,9.2895,0.19976,-0.13995,-0.25626
556,13.529,0.20644,0.30291,-0.0031365
557,7.9706,0.26568,1.7535,-0.28853
558,5.9668,0.16136,0.2661,0.16067
559,8.4549,0.033322,0.61777,-0.111
560,8.1299,0.088829,0.7717,0.032127
561,6.0838,0.090114,-1.8055,-0.42543
562,2.7281,0.79465,-0.056453,0.13072
563,4.9393,0.72164,1.9006,-0.10511
564,3.0306,0.80595,2.6432,-0.02443
565,6.5081,0.42174,0.97676,-0.46814
566,18.293,0.15771,0.3544,-0.28606
568,3.2873,0.065541,-0.87204,-0.17061
569,10.988,0.05587,0.32256,-0.025542
570,4.6656,0.14699,1.6694e-14,0.11405
571,9.3541,0.022184,0.34863,-0.15484
572,3.161,0.21251,0.55726,-0.98172
573,5.8019,0.4486,3.5221,0.18524
574,4.9328,0.19629,1.2032,-0.14722
575,5.9799,0.069411,0.22284,0.061196
576,9.3113,0.17719,0.52275,-0.10818
577,18.182,0.36114,0.21849,-0.3412
578,5.526,0.13705,0.024499,-0.072393
579,5.2668,0.18414,0.93265,0.12557
580,7.7652,0.097814,1.5068,-0.084552
581,5.6642,0.087115,0.67229,0.023586
582,5.438,0.82868,0.89325,0.034155
583,5.0556,0.88314,0.84806,0.19149
584,4.1671,0.20388,2.0479,0.072239
585,6.3953,0.068211,3.6643e-14,0.25052
586,6.8859,0.16242,1.1913,-0.021849
601,7.7139,0.14947,0.44415,-0.20197
603,3.5265,0.058638,5.1713e-10,-0.14581
604,1.4453,0.74557,1.829e-13,0.90916
605,8.2325,0.058263,0.40988,-0.08977
606,4.3276,0.040164,1.3073,0.029532
607,11.125,0.030373,0.42115,-0.071959
608,11.11,0.11507,0.82396,0.016171
609,4.2663,0.095477,0.37728,-0.3652
610,11.899,0.03877,0.77027,-0.13524
611,15.299,0.046239,0.45711,-0.015691
612,0.97383,0.40415,2.5503e-13,1.8665
614,7.2758,0.18812,0.92526,0.2096
615,1.6011,0.43491,1.1202,-0.6111
616,4.8594,0.17736,0.70252,-0.13032
617,7.1385,0.13419,0.38482,0.013875
619,2.9288,0.13962,-0.38057,0.19875
621,4.2975,0.04377,0.1787,-0.28805
622,5.4258,0.3314,0.44684,0.23457
625,4.4235,0.82823,1.0708,-0.15426
626,4.7651,0.16539,-0.33159,0.29119
629,6.8532,0.16837,0.84102,-0.1919
630,8.9785,0.067012,0.34697,-0.19279
631,6.5901,0.39431,0.93048,0.1278
632,13.154,0.18672,0.62714,-0.23664
633,5.7711,0.11377,-2.0624,-0.64045
635,2.8993,0.066866,0.50974,0.45832
636,5.1728,0.7341,0.66116,-0.19184
637,5.029,0.21799,0.52547,-0.093619
638,7.2093,0.26376,0.23054,-0.24141
639,6.8925,0.8814,0.27794,-0.31915
640,2.7538,0.64019,1.7386,-0.4267
641,8.6716,0.24888,0.17556,0.36918
642,3.1291,0.2996,0.31126,-0.26501
643,3.8082,0.30025,0.91065,-0.4954
644,13.94,0.19641,0.38474,-0.15715
645,1.6521,0.4999,2.8831,-0.93017
646,8.3436,0.28791,0.2057,-0.45886
649,6.5274,0.39608,-0.16318,-0.12201
650,2.2938,0.077487,1.5542,-0.42209
651,6.5132,0.74679,2.3899,0.095085
652,4.1605,0.075574,0.13221,-0.17743
653,9.4692,0.081987,0.30168,-0.19899
654,3.18,0.36284,1.0583,-0.18044
656,9.8295,0.73872,0.54715,-0.050929
658,3.1657,0.074855,0.57356,0.0012315
659,3.367,0.054116,0.1912,-0.23355
660,7.4329,0.43458,0.025023,-0.1564
661,3.0412,0.64445,1.2246,0.0027786
662,2.8473,0.15236,0.0026572,-0.23289
