subID,smB,rlP,uL
500,12.669,0.055453,-0.17401
501,6.3374,0.29318,0.1168
503,7.5895,0.031429,-0.1353
504,5.0966,0.06786,-0.24787
510,6.438,0.22506,-0.67677
511,3.1471,0.097518,0.050115
512,10.498,0.11551,-0.13252
513,8.3235,0.088751,-0.12718
514,12.854,0.16645,-0.10525
515,1.1088,0.11353,-0.53713
516,1.8947,0.19117,-0.35963
517,1.6918,0.26858,-1.3364
518,13.592,0.15004,-0.22684
519,8.3978,0.72687,-0.16621
520,7.6273,0.16041,-0.19247
521,1.0556,0.81845,-0.44508
522,2.4581,0.46553,-0.2874
523,7.8882,0.14361,-0.2412
524,14.073,0.24444,-0.15788
525,7.2521,0.22462,-0.10913
526,6.6912,0.21399,-0.053615
527,1.39,0.76257,0.033582
528,3.4046,0.11272,0.24339
529,1.3207,0.48131,-0.71755
530,3.7752,0.84705,-0.051034
531,1.2053,0.096245,-0.88737
532,3.621,0.10101,-0.065334
533,3.2962,0.072811,0.01186
534,6.1114,0.15608,-0.24004
535,4.6674,0.13768,-0.20446
536,4.7648,0.20782,-0.061767
537,1.0717,0.10332,-0.15493
538,4.7951,0.20798,-0.15512
539,2.0112,0.087311,-0.27476
540,7.8385,0.19109,-0.17486
541,11.114,0.19378,-0.19235
542,1.4791,0.87583,0.62546
550,6.7174,0.10612,-0.36933
551,7.1858,0.12611,-0.11713
552,7.9434,0.099137,-0.21257
553,7.0171,0.13781,-0.030855
554,2.7516,0.46935,-0.87525
555,8.7425,0.11475,-0.11254
556,12.867,0.22262,-0.061997
557,7.6372,0.26527,-0.37018
558,4.9299,0.14722,-0.029927
559,7.9673,0.040376,-0.10471
560,7.6389,0.13226,-0.15466
561,6.7605,0.093665,-0.14493
562,2.6848,0.77152,0.054331
563,4.6032,0.77997,-0.21056
564,1.735,0.67366,-0.5529
565,6.6484,0.2826,-0.36445
566,17.389,0.11213,-0.23071
568,3.3464,0.077494,-0.083737
569,10.09,0.062603,-0.10832
570,4.3016,0.18786,-0.027712
571,9.2068,0.021824,-0.15729
572,3.6599,0.11394,-0.59
573,3.9307,0.56196,-0.1305
574,4.4107,0.19609,-0.24264
575,5.4022,0.07977,-0.043837
576,8.666,0.16322,-0.16087
577,16.488,0.15502,-0.17141
578,5.5296,0.14381,-0.097282
579,4.8439,0.19597,-0.045435
580,6.7273,0.1475,-0.2363
581,4.629,0.11725,-0.16894
582,3.1247,0.1744,-0.29884
583,4.6753,0.89024,0.033124
584,3.3832,0.30713,-0.22912
585,5.9219,0.11616,0.020643
586,6.2576,0.26538,-0.21148
601,7.6174,0.12441,-0.17392
603,3.7099,0.056743,-0.092018
604,1.3799,0.70621,0.17027
605,7.8797,0.059946,-0.14731
606,3.2125,0.07444,-0.32652
607,10.337,0.038047,-0.11361
608,9.2779,0.20397,-0.13837
609,4.405,0.056186,-0.30518
610,10.364,0.052434,-0.23226
611,12.655,0.091379,-0.15872
612,0.68679,0.33702,0.89467
614,5.6412,0.19331,-0.054447
615,1.7142,0.46473,-0.46244
616,4.5876,0.20867,-0.20348
617,6.5886,0.14682,-0.084295
619,2.7968,0.10879,0.1923
621,4.5188,0.047493,-0.1539
622,5.1431,0.89234,-0.091801
625,4.3173,0.70338,-0.11307
626,4.0762,0.10319,0.19857
629,6.5557,0.18334,-0.20611
630,8.784,0.044397,-0.21197
631,5.8366,0.47072,-0.064523
632,12.834,0.16346,-0.22741
633,4.3209,0.051072,-0.51587
635,2.3679,0.27718,-0.10942
636,5.0453,0.74714,-0.20182
637,4.9664,0.23434,-0.11604
638,7.4771,0.21663,-0.13904
639,6.6669,0.70124,-0.17056
640,2.3274,0.48789,-0.39932
641,6.9439,0.38662,0.060711
642,3.0966,0.26354,-0.21135
643,3.9423,0.28022,-0.40671
644,13.648,0.16703,-0.14111
645,1.2979,0.65309,-1.3078
646,8.3509,0.13673,-0.28121
649,6.6093,0.34541,-0.024944
650,1.9582,0.054763,-0.70532
651,5.4232,0.76162,-0.11082
652,4.1855,0.065047,-0.16851
653,9.3191,0.061533,-0.14135
654,3.0403,0.33079,-0.27304
656,9.8232,0.78308,-0.11158
658,3.1238,0.079251,-0.0012513
659,3.7985,0.055541,-0.11235
660,7.1011,0.30578,-0.04408
661,2.8985,0.69002,-0.18765
662,2.9764,0.11659,-0.11311
